,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
183,1.3650332927703857,0.1239093646645349,0.015619277954101562,0.002684071741734503,False,,1,2,200,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.7306467537812795,0.7076718659920611,0.6044914319225264,0.6670757820592057,0.6652119762812779,0.6750195620072701,0.04311395813669653,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
184,0.06909189224243165,0.00593624773067434,0.0023967742919921873,0.0003411484585770136,False,,1,5,10,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",0.6095579107524128,0.5068112346436368,0.6039044765346255,0.527392789398576,0.5363116708904752,0.5567956164439453,0.04191816095057863,234,1.0,1.0,1.0,1.0,1.0,1.0,0.0
185,0.33928403854370115,0.024869802412022038,0.004940176010131836,0.0008724416321544099,False,,1,5,50,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.6785433314325467,0.6559347049194393,0.6041583810049808,0.6843554189103456,0.6402613845320331,0.6526506441598692,0.028953073727190175,34,1.0,1.0,1.0,1.0,1.0,1.0,0.0
186,0.6532457351684571,0.048078219368811626,0.009715127944946288,0.003058966442881639,False,,1,5,100,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7021908539631214,0.6557052811009695,0.6156363467926402,0.701891355556126,0.6591024761916439,0.6669052627209002,0.03250822802785497,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
187,1.39734787940979,0.06902816949688383,0.015505313873291016,0.0027608689577692767,False,,1,5,200,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.713067744653766,0.7016464154456233,0.610862079331616,0.6732783879688828,0.646277804879285,0.6690264864558346,0.03720852490227336,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
188,0.07391128540039063,0.015527252695525665,0.0025884628295898436,0.0006291035242764486,False,,1,10,10,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 10}",0.5635535401295892,0.597850936751175,0.4291201501851201,0.5352905862790245,0.47642210483773945,0.5204474636365297,0.06057831323209567,302,1.0,0.9985685463414732,0.9957047054745953,1.0,0.9985685463414732,0.9985683596315083,0.0015684198092039167
189,0.2979592800140381,0.010142311327312905,0.004269552230834961,0.000301343858504229,False,,1,10,50,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.6670248489545251,0.6900655593423541,0.5924114847666656,0.6152398322902826,0.5994149194122841,0.6328313289532222,0.0387423151704468,97,1.0,1.0,1.0,1.0,1.0,1.0,0.0
190,0.6332828044891358,0.05763894088688857,0.007886457443237304,0.0013890305246337512,False,,1,10,100,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.7132256789312262,0.7188261305840546,0.6274204172713119,0.6555622813752365,0.6113865073248417,0.6652842030973343,0.04381384884430612,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
191,1.4166361808776855,0.03222746602277088,0.015190219879150391,0.0025822308211335076,False,,1,10,200,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.7193825127161433,0.6557052811009695,0.6044914319225264,0.6382661297399683,0.6537964821485259,0.6543283675256266,0.03735220537667822,29,1.0,1.0,1.0,1.0,1.0,1.0,0.0
192,0.06722812652587891,0.004776404117843231,0.002604818344116211,0.00023520732240611404,False,,2,2,10,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 10}",0.5638230124116617,0.6294596515948581,0.5388127120036633,0.5596247894794742,0.5910897121982246,0.5765619755375764,0.03125180191664236,222,1.0,1.0,1.0,1.0,1.0,1.0,0.0
193,0.3187511444091797,0.03586563146987337,0.00426936149597168,0.00016095136602994772,False,,2,2,50,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.6497474141506256,0.65625,0.5979676237646971,0.6382590096888986,0.5967190114847657,0.6277886118177974,0.02552050251091023,115,1.0,1.0,1.0,1.0,1.0,1.0,0.0
194,0.6275411128997803,0.05182097455862804,0.008160781860351563,0.0016116464647648646,False,,2,2,100,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.7016882047132211,0.6965236525274136,0.6049032019707433,0.6037302435909746,0.6342615127009412,0.6482213631006588,0.04299445205598887,49,1.0,1.0,1.0,1.0,1.0,1.0,0.0
195,1.3105254173278809,0.14899415687889642,0.014368820190429687,0.002654776883184769,False,,2,2,200,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.7188261305840546,0.7188343942142256,0.5865557254410011,0.6727877757868226,0.646277804879285,0.6686563661810777,0.049584722483332,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
196,0.058922624588012694,0.001404063773998471,0.0020086288452148436,6.964457679438931e-05,False,,2,5,10,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 10}",0.5807110661923586,0.5590929766924082,0.6153974683025856,0.6059616675035313,0.5425445484313276,0.5807415454244422,0.02743996933176556,218,1.0,1.0,1.0,1.0,1.0,1.0,0.0
197,0.3140756130218506,0.037516065896570215,0.004719686508178711,0.0006660625114647085,False,,2,5,50,"{'bootstrap': False, 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.6615482099432778,0.6278083146099108,0.5875,0.6152398322902826,0.6126717164682163,0.6209536146623374,0.024146592132488414,134,1.0,1.0,1.0,1.0,1.0,1.0,0.0
