,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
27,0.005442905426025391,0.0012423684409734574,0.0010882854461669923,0.00033076536000401576,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.5057660942622223,0.40155946010522525,0.41500162466969676,0.48347689274019673,0.40959505645784977,0.44307982564703813,0.04288367333875944,20,0.4658919834295766,0.5037754637351587,0.4866029372494375,0.4940639394348651,0.5009190049201655,0.4902506657538407,0.013549361645375386
28,0.05163979530334473,0.009907664353138418,0.0014944076538085938,0.00014490036991123036,0.1,l2,sag,"{'C': 0.1, 'penalty': 'l2', 'solver': 'sag'}",0.4996951936780015,0.39420062792333554,0.4193344887896443,0.4773058182129292,0.41504294524314284,0.4411158147694107,0.040240565170312693,21,0.4619373705885363,0.5015486496840857,0.48178822153521766,0.48708673888913423,0.5028943582526155,0.4870510677899179,0.014963865434533439
29,0.057398223876953126,0.010962570707386722,0.0013261795043945312,0.00022115004159423254,0.1,l2,saga,"{'C': 0.1, 'penalty': 'l2', 'solver': 'saga'}",0.48272912930617906,0.4004442408067127,0.4140711053607331,0.46683914083684125,0.41504294524314284,0.4358253123107218,0.03261532808455932,27,0.46092858151026117,0.4817126728017984,0.48151041666666666,0.46976362704957375,0.5028943582526155,0.4793619312561831,0.014112639173548361
30,0.0002685070037841797,3.434366461141326e-05,0.0,0.0,0.1,elasticnet,newton-cg,"{'C': 0.1, 'penalty': 'elasticnet', 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.00018820762634277343,2.6184656258046402e-05,0.0,0.0,0.1,elasticnet,lbfgs,"{'C': 0.1, 'penalty': 'elasticnet', 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.00023837089538574218,3.67954568577935e-05,0.0,0.0,0.1,elasticnet,liblinear,"{'C': 0.1, 'penalty': 'elasticnet', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0002518177032470703,6.618242093878022e-05,0.0,0.0,0.1,elasticnet,sag,"{'C': 0.1, 'penalty': 'elasticnet', 'solver': 'sag'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.00025110244750976564,4.430492111547474e-05,0.0,0.0,0.1,elasticnet,saga,"{'C': 0.1, 'penalty': 'elasticnet', 'solver': 'saga'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,0.00020051002502441406,4.226725023812837e-05,0.0,0.0,0.1,none,newton-cg,"{'C': 0.1, 'penalty': 'none', 'solver': 'newton-cg'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.00024995803833007815,3.0180665768768494e-05,0.0,0.0,0.1,none,lbfgs,"{'C': 0.1, 'penalty': 'none', 'solver': 'lbfgs'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0002110004425048828,6.459392507415803e-05,0.0,0.0,0.1,none,liblinear,"{'C': 0.1, 'penalty': 'none', 'solver': 'liblinear'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
