,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
55,0.06988005638122559,0.01513921429305586,0.013158798217773438,0.002229412284207753,1.0,0.1,sigmoid,"{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}",0.13886751972361297,0.15562560925113628,0.024916194774735875,0.1468009491873921,-0.04239039033992973,0.0847639765193895,0.0794319083865178,79,0.04086480323124212,0.04379211777905915,0.07211693202910822,0.04733904359377058,0.07522247218999346,0.05586707376463471,0.014712507084964913
56,0.101707124710083,0.01622614831787421,0.007093095779418945,0.0009779193628182412,1.0,1,linear,"{'C': 1, 'gamma': 1, 'kernel': 'linear'}",0.5302083333333333,0.48548919438979216,0.4741364750682446,0.48347689274019673,0.4984447862792268,0.4943511363621587,0.019534135585544427,17,0.526627134255104,0.558719998352738,0.5546753212150223,0.5626887963208895,0.5544172664890893,0.5514257033265686,0.012763561401866103
57,0.08012275695800782,0.01300823040620418,0.02529749870300293,0.0031608496308067934,1.0,1,rbf,"{'C': 1, 'gamma': 1, 'kernel': 'rbf'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,85,1.0,1.0,1.0,1.0,1.0,1.0,0.0
58,0.13793067932128905,0.012151880832201837,0.008052873611450195,0.0009469629575855657,1.0,1,poly,"{'C': 1, 'gamma': 1, 'kernel': 'poly'}",0.40959505645784977,0.4523517708899695,0.4169489616279958,0.4588732537680524,0.3544304092945183,0.41843989040767715,0.03731632387864419,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0
59,0.07610611915588379,0.020793888109716118,0.012290859222412109,0.0016463442554518288,1.0,1,sigmoid,"{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}",0.03227538599155429,0.09545037367403025,-0.03218341825070051,0.0646939889849893,0.2190548790612196,0.0758582418922186,0.08316998824352335,81,-0.003905745445114783,0.08046875,0.010157583022252857,0.00468689453413774,0.0890625,0.036093996422255165,0.04008457075951739
60,0.6088352680206299,0.11519052852501271,0.005875396728515625,0.0005771951681016704,10.0,scale,linear,"{'C': 10, 'gamma': 'scale', 'kernel': 'linear'}",0.5526953793438837,0.49173722834813943,0.4887196529962819,0.5115473225629872,0.5259289944370271,0.514125715537664,0.023580911100824543,11,0.566106569052709,0.5653458607473871,0.5966973634830016,0.5850936990683419,0.5632487570932873,0.5752984498889454,0.013286084523969588
61,0.0735586166381836,0.01131342333161809,0.016246509552001954,0.0023400619567475398,10.0,scale,rbf,"{'C': 10, 'gamma': 'scale', 'kernel': 'rbf'}",0.5458855056986571,0.5477225575051661,0.6240944094871153,0.517284576740244,0.5282260466882535,0.5526426192238871,0.037474215415381776,3,0.9283854166666666,0.9298871848111291,0.8971679942863319,0.9213419182303876,0.9369994165081607,0.9227563861005352,0.013727087859781916
62,0.06565003395080567,0.006253670441381509,0.008413076400756836,0.0012916558657040224,10.0,scale,poly,"{'C': 10, 'gamma': 'scale', 'kernel': 'poly'}",0.3901764008270826,0.4270833333333333,0.4299086281658331,0.3915437586192095,0.40481320078364325,0.4087050643458204,0.016972449897796994,40,0.8811947229665958,0.8982732437945102,0.8681747634335595,0.872510336526848,0.9083492308595408,0.885700459516211,0.015313215060082012
63,0.04572439193725586,0.01351413173150353,0.01029829978942871,0.0043713962239126285,10.0,scale,sigmoid,"{'C': 10, 'gamma': 'scale', 'kernel': 'sigmoid'}",0.34319972772410434,0.36751387292735416,0.20777922124059384,0.3175121312459921,0.2278026559405295,0.2927615218157148,0.06353922402103374,66,0.28595164307686977,0.28294956956408335,0.30524839236103457,0.29226481008123895,0.29854732042187715,0.29299234710102073,0.008148945673376365
64,0.6320745944976807,0.122482781464052,0.0070651531219482425,0.0015708306004231405,10.0,auto,linear,"{'C': 10, 'gamma': 'auto', 'kernel': 'linear'}",0.5526953793438837,0.49173722834813943,0.4887196529962819,0.5115473225629872,0.5259289944370271,0.514125715537664,0.023580911100824543,11,0.566106569052709,0.5653458607473871,0.5966973634830016,0.5850936990683419,0.5632487570932873,0.5752984498889454,0.013286084523969588
